danci,yinbiao,yisi,liju
performance appraisal, ,绩效评估,
hyperbolic,[ˌhaɪpərˈbɑːlɪk],夸张的、双曲线的,
cubicle,[ˈkjuːbɪkl],小隔间,
comfort room, ,公厕 [正式],
doorknob,[ˈdɔːrnɑːb],门把手,
maintenance,[ˈmeɪntənəns],维护、检修,maintenance cost 维护费用
resort to, ,诉诸于、依靠,"Due to the virus, we have to resorted to staying inside."
rustle,[ˈrʌs(ə)l],沙沙作响,I was just enjoying the fresh air and listening to the sound of leaves rustling in the trees.
whimper,[ˈwɪmpər],抽泣、呜咽,My dog start to whimpering.
instinct,[ˈɪnstɪŋkt],直觉、本能,"survival instinct 生存本能
by instinct 出于本能"
rehearse,[rɪˈhɜːrs],排练,
vogue,[voʊɡ],时尚,vogue cover 时尚封面
complexion,[kəmˈplekʃ(ə)n],面色、气色,complex 复杂的
glamorous,[ˈɡlæmərəs],富有魅力的,
glow,[ɡloʊ],暗光、容光焕发,
imperfection,[ˌɪmpərˈfekʃn],瑕疵,
audition,[ɔːˈdɪʃ(ə)n],试镜、试演,
ledge,[ledʒ],窗台,
pick on sb, ,找某人的茬,
trauma,[ˈtrɔːmə],(精神的)创伤,I'd been through the trauma of losing a house.
cope with, ,处理、应付,Fit people are better able to cope with stress.
nonetheless,[ˌnʌnðəˈles],尽管如此,
artery,[ˈɑːrtəri],动脉,
selfie,[ˈselfi],自拍照,Can I get a selfie with you?
quote-unquote, ,所谓的（引文起-引文止）,
harass,[həˈræs],骚扰,sexual harassment 性骚扰
vulgar,[ˈvʌlɡər],粗俗的、粗鲁的,
censor,[ˈsensər],审查,censored 被审查的
freshman,[ˈfreʃmən],新生、(大学或中学)一年级学生,So It was the first day of my freshman year.
ventilation,[ˌventɪˈleɪʃ(ə)n],通风,but since there's no ventilation in my closet...
oath of office, ,就职宣誓,
skyscraper,[ˈskaɪskreɪpər],摩天大楼,
linger,[ˈlɪŋɡər],留存、挥之不去,The aftermath of covid still lingers. 新冠疫情的影响仍挥之不去。
pay tribute to, ,致敬,
admire,[ədˈmaɪər],钦佩、仰慕、欣赏,I admired her restlessness to create change.
born of, ,出于,"not born of ill will or bad intentions, quite the opposite in fact. 不是出于恶意"
fork,[fɔːrk],除了“叉子”，还表示岔路口,you come to a fork in the path one leads to a picnic area and the other leads to the lake. 你来到一个岔路口...
skinny,[ˈskɪni],骨瘦如柴的，非常瘦的,
bold,[boʊld],大胆的、冒失的,I have a bold idea. 我有一个大胆的想法
to top it off, ,除此之外、最重要的是,"And to top it off, he said ..."
blow off, ,不理会、放鸽子,Let's blow off work and go to the beach.
layover,[ˈleɪoʊvər],短暂滞留,
ignorant,[ˈɪɡnərənt],无知的,He's ignorant about modern technology.
feasible,[ˈfiːzəb(ə)l],可行的,Is it feasible? 这可行吗？
blunt,[blʌnt],直言不讳的、钝的,
